idx,Month,DayofMonth,DayOfWeek,UniqueCarrier,Origin,Dest,Distance,Hour,Minute,IsWeekend
58,9,5,2,FL,ATL,MSP,906.0,18,31,0
59,6,7,3,WN,BOI,SLC,291.0,10,20,0
60,10,28,5,CO,ORD,EWR,719.0,6,58,0
61,1,18,3,DL,ATL,MEM,332.0,18,30,0
62,4,19,2,DL,MCI,ATL,692.0,15,19,0
63,1,27,5,WN,BWI,PVD,328.0,14,35,0
64,3,26,6,AA,BHM,DFW,597.0,13,10,1
65,4,29,5,MQ,CRP,DFW,354.0,19,28,0
66,10,3,2,F9,DEN,SFO,967.0,8,27,0
67,7,22,5,OH,BOS,RDU,612.0,19,55,0
68,7,25,2,WN,DEN,MDW,895.0,17,23,0
69,9,4,7,WN,SAT,DAL,248.0,16,45,1
70,4,8,6,XE,PHL,CLE,363.0,6,31,1
71,6,5,7,US,ORF,PHL,211.0,14,36,1
72,6,6,2,UA,DEN,DTW,1123.0,19,32,0
73,7,2,7,NW,MSP,LAS,1300.0,7,0,1
74,12,10,7,WN,DAL,SAT,248.0,8,13,1
75,12,14,4,WN,STL,SLC,1156.0,18,9,0
76,12,15,4,WN,BOI,RNO,335.0,12,30,0
77,10,6,5,OH,LGA,JAX,834.0,20,10,0
78,5,15,1,OO,CIC,SFO,153.0,14,30,0
79,5,2,2,WN,AUS,HRL,273.0,13,50,0
80,4,27,4,AA,LGA,ORD,733.0,5,57,0
81,11,29,2,AA,SLC,ORD,1249.0,6,10,0
82,1,24,2,XE,IAH,JAN,351.0,13,44,0
83,6,25,7,OO,COD,SLC,298.0,5,55,1
84,10,22,6,HA,HNL,SMF,2462.0,12,48,1
85,6,16,4,WN,RNO,PDX,444.0,13,45,0
86,10,18,2,AA,ORD,EWR,719.0,19,56,0
87,3,12,7,MQ,BNA,ORD,409.0,12,50,1
88,12,25,7,WN,TPA,ISP,1034.0,10,20,1
89,2,14,2,NW,DFW,DTW,987.0,9,7,0
90,10,27,4,F9,DEN,DFW,641.0,19,7,0
91,1,28,5,WN,BNA,TPA,612.0,21,35,0
92,5,9,1,AA,MIA,JFK,1090.0,7,58,0
93,12,16,6,OO,SLC,FCA,532.0,9,55,1
94,5,29,1,DL,ATL,PIT,526.0,17,9,0
95,3,13,7,OH,EVV,CVG,170.0,15,10,1
96,5,10,3,XE,PNS,IAH,489.0,15,14,0
97,1,1,6,WN,LAS,MDW,1521.0,11,0,1
98,7,21,4,WN,SAN,SJC,417.0,10,46,0
99,1,14,6,US,EWR,CLT,529.0,9,37,1
100,7,16,6,AA,DFW,AUS,190.0,10,3,1
101,2,3,5,WN,LAX,PHX,370.0,19,20,0
102,4,16,7,US,CLT,BUF,546.0,19,13,1
103,12,24,6,CO,IAH,OKC,395.0,18,19,1
104,7,26,3,WN,PHL,LAS,2176.0,11,52,0
105,2,19,7,UA,DEN,IAH,861.0,10,11,1
106,9,7,4,AS,SEA,ANC,1449.0,19,22,0
107,3,11,5,CO,BWI,IAH,1235.0,17,35,0
108,8,28,1,FL,RSW,ATL,515.0,8,31,0
109,6,4,7,UA,DEN,LAX,862.0,21,26,1
110,12,13,3,YV,JFK,IAD,228.0,19,53,0
111,10,24,2,DL,ATL,SAN,1891.0,15,57,0
112,3,22,2,AS,ANC,BET,399.0,6,5,0
113,5,8,7,AS,ONT,SEA,956.0,10,4,1
114,4,25,2,AS,OAK,SEA,671.0,18,6,0
115,4,14,5,US,CLT,FLL,631.0,9,52,0
116,12,13,3,MQ,LAX,SBA,89.0,15,47,0
117,10,13,4,OO,MCI,ORD,403.0,17,52,0
118,12,9,6,YV,PHX,GJT,438.0,9,45,1
119,12,15,4,XE,CRP,IAH,201.0,12,41,0
120,8,7,7,OO,SNA,LAX,36.0,14,27,1
121,9,13,3,WN,AMA,DAL,324.0,16,50,0
122,3,10,5,UA,MSP,DEN,680.0,8,48,0
123,3,30,4,AA,LAX,MIA,2342.0,21,20,0
124,4,11,2,EV,STL,SLC,1156.0,8,5,0
125,12,23,6,UA,SFO,DEN,967.0,6,4,1
126,1,31,2,OO,DEN,BZN,525.0,14,31,0
127,9,16,5,AA,ORD,DEN,888.0,8,43,0
128,5,23,1,OH,CID,CVG,419.0,15,40,0
129,11,26,7,OO,ORD,FWA,157.0,6,46,1
130,8,7,7,DL,RSW,ATL,515.0,9,33,1
131,8,17,3,MQ,ORD,SYR,607.0,13,17,0
132,10,22,7,WN,BWI,BDL,283.0,14,17,1
133,10,14,5,NW,DTW,MCO,957.0,7,13,0
134,12,28,4,EV,ATL,CLE,554.0,19,26,0
135,9,4,7,AS,DCA,SEA,2329.0,17,33,1
136,3,17,5,CO,PHX,IAH,1009.0,16,57,0
137,3,4,6,AS,LGB,SEA,965.0,17,25,1
138,3,4,5,MQ,SAN,LAX,109.0,6,45,0
139,5,26,5,UA,ORD,BDL,783.0,16,36,0
140,1,2,7,UA,DEN,BOI,649.0,17,17,1
141,2,24,5,UA,ONT,DEN,819.0,8,30,0
142,1,22,7,DL,ATL,GSO,306.0,19,54,1
143,6,10,6,EV,GSP,CVG,317.0,16,19,1
144,9,16,5,UA,SNA,ORD,1726.0,9,2,0
145,6,26,7,WN,MAF,DAL,319.0,14,40,1
146,5,2,1,DL,ATL,GSP,153.0,11,42,0
147,10,6,4,MQ,CRP,DFW,354.0,13,40,0
148,2,4,5,WN,LAS,OAK,407.0,10,50,0
149,6,1,4,DL,ATL,IAD,533.0,19,42,0
150,10,29,7,NW,MSP,LAX,1536.0,9,12,1
151,9,11,1,UA,LAX,LAS,236.0,20,10,0
152,7,13,3,CO,LAS,IAH,1222.0,13,35,0
153,4,11,2,OO,DEN,MEM,872.0,18,51,0
154,5,18,3,NW,DTW,LAN,74.0,12,17,0
155,7,19,3,TZ,MDW,DFW,797.0,21,5,0
156,8,26,6,AA,MFE,DFW,468.0,16,34,1
157,8,22,2,YV,BMI,ORD,116.0,5,53,0
158,7,25,2,F9,MSP,DEN,680.0,14,7,0
159,6,24,6,MQ,SAN,SJC,417.0,6,26,1
160,4,27,4,OO,ORD,FWA,157.0,20,51,0
161,10,13,4,AA,MFE,DFW,468.0,11,32,0
162,10,1,6,AS,PDX,LAS,762.0,11,12,1
163,11,18,5,OO,LAX,SJC,308.0,14,23,0
164,10,28,5,DL,ATL,STL,483.0,13,22,0
165,6,1,4,NW,LAS,MSP,1300.0,6,50,0
166,4,26,3,OO,IPL,YUM,58.0,12,10,0
167,8,30,2,MQ,ORD,MKE,67.0,12,43,0
168,9,22,4,UA,SFO,SAN,447.0,15,54,0
169,11,18,5,MQ,GRB,MQT,134.0,19,55,0
170,8,5,5,UA,LAX,SFO,337.0,19,29,0
171,12,1,4,WN,SJC,ONT,333.0,19,13,0
172,11,13,1,OO,SLC,SJC,585.0,15,28,0
173,2,27,7,OO,DEN,ELP,563.0,18,27,1
174,4,18,1,DL,AUS,ATL,813.0,11,17,0
175,4,22,6,OH,MCI,MCO,1072.0,14,38,1
176,4,28,4,AS,SEA,LAX,954.0,20,37,0
177,6,6,2,OO,FAR,ORD,557.0,17,36,0
178,4,11,1,HP,LAS,DEN,629.0,11,27,0
179,12,3,6,XE,IAH,RDU,1043.0,16,25,1
180,7,19,2,MQ,DFW,LBB,282.0,17,8,0
181,12,28,4,WN,HOU,JAN,359.0,17,53,0
182,6,11,7,OO,MTJ,DEN,197.0,18,29,1
183,11,11,5,NW,DTW,JAX,814.0,15,9,0
184,10,8,6,US,CLT,PHL,448.0,10,56,1
185,6,29,4,XE,DCA,EWR,199.0,20,52,0
186,6,16,4,DL,SLC,CVG,1449.0,12,59,0
187,5,22,1,DL,ATL,PBI,545.0,8,34,0
188,9,10,6,NW,BOS,DTW,632.0,18,2,1
189,7,9,7,B6,JFK,SJU,1597.0,20,59,1
190,5,25,4,YV,DRO,DEN,251.0,9,5,0
191,5,29,1,US,RDU,PHL,336.0,11,32,0
192,7,9,6,DH,IAD,CHS,441.0,8,15,1
193,11,3,4,WN,TPA,PVD,1137.0,12,10,0
194,9,5,2,AA,CLT,DFW,936.0,8,35,0
195,6,17,6,YV,IAD,LGA,229.0,12,35,1
196,8,4,4,NW,ONT,MSP,1494.0,12,4,0
197,3,7,2,EV,MLU,ATL,448.0,15,45,0
198,9,2,5,DL,VPS,ATL,264.0,12,2,0
199,3,22,3,UA,IAH,DEN,861.0,14,12,0
200,4,27,4,WN,PHX,SAN,304.0,18,25,0
201,7,4,2,US,LAS,PDX,762.0,20,42,0
202,5,24,2,AA,MIA,LGA,1097.0,10,58,0
203,7,31,1,AA,ATL,MIA,595.0,16,47,0
204,6,20,1,WN,STL,OKC,462.0,9,20,0
205,12,23,5,CO,SEA,IAH,1874.0,7,24,0
206,5,17,3,UA,SAN,IAD,2253.0,12,52,0
207,9,26,1,NW,MDW,MSP,349.0,20,50,0
208,1,12,3,DL,BOS,ATL,946.0,6,33,0
209,10,14,6,AA,TUL,DFW,237.0,8,50,1
210,3,14,1,OH,CVG,ACY,542.0,11,40,0
211,1,8,7,EV,ATL,CAK,528.0,14,54,1
212,8,7,1,AA,DFW,PDX,1616.0,20,37,0
213,9,18,7,OO,SBA,SLC,615.0,16,22,1
214,2,10,5,YV,PWM,IAD,494.0,9,30,0
215,5,17,2,WN,RNO,SJC,188.0,6,15,0
216,7,7,4,OO,IDA,SLC,188.0,11,24,0
217,3,4,6,NW,MCO,DTW,957.0,11,27,1
218,4,11,2,OO,ORD,MEM,491.0,21,41,0
219,4,8,6,OH,SAT,CVG,1024.0,7,25,1
220,10,7,6,DL,SLC,PDX,630.0,21,12,1
221,4,5,2,WN,PHX,LAS,256.0,5,50,0
222,7,16,7,DL,ATL,PHL,665.0,18,6,1
223,3,27,7,WN,ONT,SMF,389.0,11,25,1
224,3,17,5,NW,PHX,MSP,1276.0,18,15,0
225,2,27,1,B6,FLL,JFK,1069.0,19,15,0
226,4,27,4,OO,LAX,ABQ,677.0,7,50,0
227,5,13,5,DL,ATL,JAX,270.0,13,29,0
228,12,23,5,OO,ACV,SFO,250.0,17,27,0
229,10,1,7,B6,JFK,PBI,1028.0,13,37,1
230,4,11,1,DL,ATL,LAX,1946.0,16,18,0
231,4,29,5,NW,CHS,DTW,668.0,8,28,0
232,7,27,4,WN,PHL,MCO,861.0,13,23,0
233,2,23,3,DL,STL,ATL,483.0,6,57,0
234,11,26,6,NW,DTW,LAN,74.0,10,24,1
235,12,23,5,OH,BGM,CVG,506.0,5,55,0
236,3,11,5,UA,MSY,ORD,837.0,17,47,0
237,5,4,4,UA,DEN,MSP,680.0,18,20,0
238,7,13,3,EV,ATL,MSP,906.0,12,29,0
239,2,20,1,HA,OGG,KOA,84.0,15,34,0
240,9,10,6,OH,JFK,STL,892.0,17,29,1
241,11,16,3,AA,LGA,BNA,764.0,14,7,0
242,7,18,2,UA,DEN,RNO,804.0,18,56,0
243,4,13,4,MQ,LGA,RDU,431.0,9,26,0
244,9,28,4,CO,SFO,IAH,1635.0,17,48,0
245,6,17,5,OH,DSM,CVG,505.0,14,25,0
246,4,17,7,XE,CLE,BNA,448.0,20,29,1
247,3,10,5,OO,SLC,IDA,188.0,8,2,0
248,6,2,5,EV,ATL,EVV,350.0,18,4,0
249,5,15,7,CO,EWR,MCO,938.0,7,26,1
250,3,28,2,UA,ORD,PIT,412.0,16,56,0
251,6,2,4,US,MCI,CLT,809.0,16,53,0
252,6,3,5,DL,MOB,ATL,302.0,20,17,0
253,2,2,4,WN,BWI,MCO,787.0,7,10,0
254,6,24,5,FL,CAK,ATL,528.0,10,2,0
255,4,12,3,DL,ATL,SAT,874.0,9,25,0
256,3,6,7,NW,MSP,LAS,1300.0,17,12,1
257,5,21,6,MQ,SAN,SJC,417.0,16,4,1
258,8,6,7,US,DCA,TPA,814.0,19,17,1
259,2,21,1,DL,SNA,SLC,588.0,12,59,0
260,5,6,6,US,RSW,CLT,600.0,19,1,1
261,4,6,3,NW,DCA,DTW,405.0,6,21,0
262,4,8,5,MQ,LIT,DFW,304.0,10,46,0
263,1,17,1,EV,FAY,ATL,331.0,6,45,0
264,9,18,7,EV,DSM,ATL,743.0,16,41,1
265,2,10,5,OO,DEN,ELP,563.0,14,53,0
266,4,7,4,MQ,LIT,DFW,304.0,15,25,0
267,6,29,4,XE,SHV,IAH,192.0,16,6,0
268,2,1,3,WN,TUS,SAN,367.0,11,23,0
269,12,31,7,WN,DEN,LAS,629.0,15,3,1
270,11,21,2,NW,IND,DTW,231.0,13,11,0
271,5,31,2,UA,STL,ORD,258.0,9,59,0
272,12,15,4,MQ,LAX,SAN,109.0,14,56,0
273,8,10,3,EV,ATL,LEX,303.0,22,55,0
274,8,4,5,AQ,HNL,ITO,216.0,14,45,0
275,11,15,2,DH,CAE,IAD,401.0,7,5,0
276,12,3,7,OO,SLC,RNO,422.0,15,7,1
277,3,31,5,XE,PHL,CLE,363.0,13,11,0
278,12,3,7,OH,JFK,BUF,301.0,12,20,1
279,6,2,4,WN,SLC,BOI,291.0,17,10,0
280,3,12,6,OO,TUS,LAX,451.0,20,22,1
281,8,13,7,AA,MCO,DFW,984.0,18,8,1
282,7,2,6,NW,MSP,MCO,1310.0,13,34,1
283,9,5,1,OO,SFO,SBP,191.0,22,33,0
284,5,6,6,WN,OAK,PDX,543.0,14,1,1
285,9,23,6,WN,PVD,TPA,1137.0,19,6,1
286,5,20,6,AA,ONT,DFW,1189.0,12,9,1
287,2,27,7,OH,DCA,BOS,399.0,19,8,1
288,12,26,1,AS,SEA,KTN,680.0,7,58,0
289,11,27,7,OO,ORD,SGF,438.0,8,31,1
290,10,29,7,NW,ROC,DTW,296.0,17,15,1
291,4,7,5,XE,CHS,IAH,925.0,6,30,0
292,7,10,7,XE,CRP,IAH,201.0,6,52,1
293,8,22,1,OO,MFR,SLC,575.0,6,38,0
294,12,5,1,WN,OAK,SAN,446.0,16,40,0
295,8,21,7,DL,IAD,ATL,533.0,7,33,1
296,6,29,4,AA,DFW,BNA,631.0,20,55,0
297,7,19,2,NW,MSP,RDU,981.0,18,38,0
298,8,15,2,EV,VLD,ATL,208.0,17,0,0
299,2,5,7,US,PHL,SFO,2521.0,20,40,1
300,12,25,1,WN,PHL,HOU,1335.0,8,9,0
301,10,21,6,EV,MDW,ATL,590.0,13,13,1
302,12,19,1,OH,CVG,ALB,623.0,14,55,0
303,4,20,3,NW,TPA,DTW,983.0,17,25,0
304,6,14,2,DL,AUS,CVG,958.0,14,42,0
305,12,5,1,UA,DEN,LGA,1619.0,12,29,0
306,3,21,2,WN,DAL,TUL,237.0,21,25,0
307,8,29,1,XE,CLE,ABE,339.0,19,20,0
308,6,16,4,WN,OAK,SNA,371.0,11,20,0
309,11,22,3,WN,ELP,AUS,528.0,7,9,0
310,9,21,4,WN,SAT,DAL,248.0,11,40,0
311,12,11,1,UA,ORD,SFO,1846.0,23,52,0
312,4,27,3,OH,RIC,CVG,413.0,9,20,0
313,5,21,7,NW,DTW,PVD,614.0,9,49,1
314,12,29,5,NW,DTW,TPA,983.0,15,0,0
315,1,19,4,MQ,BOS,JFK,187.0,20,53,0
316,8,10,4,MQ,DFW,AMA,313.0,21,15,0
317,10,4,3,CO,IAH,MCO,853.0,11,52,0
318,9,10,6,WN,OAK,SNA,371.0,7,30,1
319,8,24,3,HP,BWI,PHX,1999.0,16,49,0
320,5,22,7,MQ,DFW,LIT,304.0,14,56,1
321,12,19,1,XE,OKC,EWR,1325.0,7,27,0
322,8,20,7,MQ,MKE,ORD,67.0,6,16,1
323,9,19,2,US,TPA,PIT,873.0,12,28,0
324,10,6,5,AS,SEA,ANC,1449.0,7,54,0
325,2,24,5,US,PHX,IND,1489.0,10,10,0
326,1,11,2,OH,SGF,CVG,491.0,10,55,0
327,8,30,2,DL,ATL,DTW,594.0,19,31,0
328,12,19,2,OO,TYS,ORD,475.0,16,47,0
329,2,10,5,CO,BWI,IAH,1235.0,15,57,0
330,8,28,7,US,PHL,RDU,336.0,11,42,1
331,8,31,3,AA,ORD,SEA,1721.0,16,25,0
332,4,5,2,OO,CLE,DEN,1201.0,14,59,0
333,12,27,3,OH,CVG,ROA,282.0,11,10,0
334,1,19,4,DL,ATL,LEX,303.0,17,43,0
335,9,19,1,OH,TPA,LEX,704.0,14,30,0
336,9,30,5,WN,MAF,AUS,294.0,19,5,0
337,8,14,1,AS,LAX,SEA,954.0,16,3,0
338,10,27,5,MQ,ORD,GSP,577.0,22,2,0
339,1,20,5,US,CLT,ROC,573.0,19,27,0
340,7,4,2,WN,LAS,ELP,584.0,17,14,0
341,10,27,5,AA,SAN,DFW,1171.0,9,56,0
342,6,2,4,DL,STL,ATL,483.0,6,54,0
343,8,2,3,AA,SAT,DFW,247.0,10,34,0
344,7,31,1,DL,LAX,ATL,1946.0,0,45,0
345,7,17,7,WN,SMF,LAX,373.0,10,47,1
346,10,12,3,UA,DEN,SMF,910.0,17,24,0
347,3,10,5,AA,ORF,DFW,1213.0,7,27,0
348,12,28,3,EV,ATL,SAV,215.0,9,43,0
349,11,17,4,EV,CVG,TOL,181.0,19,0,0
350,2,22,3,WN,PDX,OAK,543.0,6,0,0
351,5,3,3,OH,CHO,CVG,342.0,11,50,0
352,12,27,2,WN,SJC,ONT,333.0,22,24,0
353,12,22,4,EV,SHV,ATL,552.0,11,1,0
354,4,3,7,UA,SFO,OGG,2338.0,16,44,1
355,5,24,3,UA,SJC,DEN,948.0,12,8,0
356,11,7,2,DL,ATL,SAT,874.0,14,18,0
357,11,25,5,AS,ANC,SEA,1449.0,20,22,0
358,6,15,3,AA,DFW,DTW,987.0,15,0,0
359,8,1,2,DL,ATL,CHS,259.0,14,13,0
360,5,27,5,DL,DAB,ATL,366.0,11,2,0
361,4,4,2,WN,CLE,LAS,1825.0,14,50,0
362,3,14,1,UA,EGE,DEN,121.0,8,10,0
363,3,5,6,OO,DEN,FAT,844.0,11,49,1
364,5,28,7,XE,EWR,MCI,1092.0,15,14,1
365,12,29,4,AA,RSW,ORD,1120.0,19,41,0
366,5,27,5,XE,CLE,MSN,402.0,20,45,0
367,9,7,3,AA,MCO,BOS,1121.0,16,8,0
368,8,27,6,HP,SFO,LAS,414.0,20,23,1
369,9,11,1,AS,ANC,SEA,1449.0,5,58,0
370,2,20,1,XE,CLE,DFW,1021.0,16,52,0
371,4,20,3,US,CLT,DCA,331.0,21,11,0
372,9,1,4,OO,SLC,FCA,532.0,18,27,0
373,1,17,1,DL,RDU,ATL,356.0,17,14,0
374,10,5,3,AA,IAH,DFW,224.0,6,59,0
375,5,10,3,UA,ORD,OAK,1835.0,10,3,0
376,2,24,5,OO,BOI,SLC,291.0,9,43,0
377,8,16,3,AS,SEA,SJC,697.0,5,58,0
378,7,23,7,NW,PHL,DTW,453.0,9,38,1
379,5,19,5,OO,SAN,SLC,626.0,14,51,0
380,12,8,5,US,IAD,PHX,1956.0,7,24,0
381,10,22,7,B6,JFK,CMH,483.0,23,26,1
382,4,15,5,DL,SNA,ATL,1919.0,11,46,0
383,8,23,3,MQ,GSP,DFW,862.0,10,15,0
384,9,16,6,MQ,TYS,ORD,475.0,17,41,1
385,5,20,5,NW,GRR,DTW,120.0,11,56,0
386,8,22,2,XE,EWR,RDU,416.0,11,14,0
387,8,28,1,AA,MFE,DFW,468.0,16,40,0
388,1,16,7,US,PHL,PIT,267.0,19,53,1
389,7,14,4,HP,LAX,PHX,370.0,6,43,0
390,12,21,3,XE,MCI,EWR,1092.0,6,55,0
391,9,18,1,AA,BOS,DFW,1562.0,17,38,0
392,6,29,4,US,ELP,PHX,347.0,6,57,0
393,9,8,5,XE,IAH,GRR,1042.0,19,16,0
394,11,11,6,AA,DFW,BUR,1231.0,10,36,1
395,12,28,3,DL,SLC,SEA,689.0,19,7,0
396,3,20,7,UA,LAS,ORD,1515.0,12,39,1
397,9,21,4,HA,HNL,SFO,2398.0,13,2,0
398,10,10,1,DL,ATL,SAN,1891.0,22,5,0
399,10,24,1,OO,BIS,DEN,517.0,13,5,0
400,1,25,2,XE,JAN,IAH,351.0,18,3,0
401,9,23,6,OH,CVG,AVL,275.0,15,33,1
402,5,10,3,MQ,SAN,SJC,417.0,10,31,0
403,1,7,5,NW,EWR,MSP,1008.0,13,33,0
404,10,15,7,OO,ORD,MKE,67.0,14,46,1
405,4,5,2,EV,CAK,CVG,214.0,9,19,0
406,2,10,5,US,FLL,PHL,992.0,6,6,0
407,2,17,5,US,JAX,DCA,634.0,16,37,0
408,7,19,3,UA,GSO,ORD,590.0,7,1,0
409,8,31,3,WN,DAL,LIT,296.0,19,5,0
410,5,23,1,OH,DTW,CVG,229.0,20,55,0
411,1,27,4,US,PIT,PBI,952.0,8,55,0
412,9,9,6,OH,BUF,CVG,410.0,11,15,1
413,5,17,2,B6,TPA,JFK,1005.0,17,2,0
414,12,24,6,F9,DEN,DFW,641.0,7,6,1
415,11,18,6,NW,MSO,MSP,1013.0,14,26,1
416,3,16,4,US,PIT,PHL,267.0,20,27,0
417,3,22,2,AA,MSY,ORD,837.0,11,31,0
418,1,27,5,MQ,BGR,BOS,201.0,7,0,0
419,2,15,3,NW,BNA,MEM,200.0,11,45,0
420,5,20,6,UA,LAX,MCO,2217.0,10,35,1
421,8,16,2,OO,SLC,RNO,422.0,8,9,0
422,5,12,5,EV,ATL,MLU,448.0,10,30,0
423,1,28,6,WN,OKC,PHX,833.0,6,38,1
424,8,19,6,XE,IND,CLE,261.0,14,50,1
425,11,24,4,NW,IND,DTW,231.0,14,27,0
426,8,15,2,WN,PHL,BDL,196.0,16,15,0
427,11,2,3,MQ,DFW,JAN,408.0,10,8,0
428,11,13,1,FL,JAX,ATL,270.0,7,46,0
429,11,9,3,AA,DFW,ELP,551.0,18,7,0
430,7,27,4,EV,OKC,SLC,866.0,14,35,0
431,1,9,7,OO,IDA,SLC,188.0,11,19,1
432,12,14,3,AA,LAX,FLL,2342.0,6,59,0
433,1,17,2,US,SNA,PHX,338.0,12,46,0
434,1,25,2,MQ,OKC,ORD,693.0,6,26,0
435,2,8,3,OO,CEC,ACV,56.0,5,47,0
436,2,8,3,US,ATL,PHX,1587.0,10,52,0
437,4,15,6,DL,PHX,ATL,1587.0,13,42,1
438,2,27,7,FL,DEN,ATL,1199.0,7,45,1
439,10,2,1,DL,DEN,ATL,1199.0,16,40,0
440,9,10,7,FL,ICT,ATL,781.0,7,4,1
441,1,29,7,XE,IAH,ELP,667.0,14,32,1
442,4,22,5,DL,ATL,HOU,696.0,14,38,0
443,3,16,4,NW,MCO,MSP,1310.0,11,35,0
444,8,15,1,OH,LGA,CLT,544.0,8,55,0
445,2,1,2,DL,EWR,CVG,569.0,9,30,0
446,8,7,1,CO,MYR,EWR,550.0,14,31,0
447,1,24,2,DL,DCA,ATL,547.0,6,4,0
448,5,9,1,WN,CLE,STL,487.0,7,15,0
449,2,17,4,DL,MDW,ATL,590.0,5,38,0
450,6,6,2,OO,PHX,LAX,370.0,17,48,0
451,12,30,6,US,JAX,CLT,329.0,17,4,1
452,3,22,2,MQ,ORD,RIC,642.0,11,12,0
453,9,29,4,EV,ATL,CAK,528.0,12,20,0
454,3,18,5,US,PIT,SAN,2106.0,18,3,0
455,4,9,7,UA,OAK,IAD,2408.0,7,6,1
456,7,29,6,YV,PHX,OMA,1037.0,18,20,1
457,5,8,1,YV,DEN,COS,72.0,10,2,0
458,5,19,5,AS,SEA,PHX,1107.0,18,55,0
459,3,19,6,OO,DEN,FAT,844.0,20,17,1
460,1,6,5,AS,SEA,LAX,954.0,6,1,0
461,5,7,7,UA,BOI,DEN,649.0,13,56,1
462,5,11,3,F9,DEN,MCI,533.0,13,44,0
463,4,28,4,XE,ALB,CLE,424.0,18,25,0
464,4,27,4,XE,LIT,IAH,374.0,15,12,0
465,5,16,2,XE,CLE,DAY,162.0,8,49,0
466,9,13,3,CO,MIA,EWR,1086.0,19,59,0
467,7,26,2,OO,STL,DEN,770.0,9,4,0
468,11,25,5,XE,IAH,LEX,828.0,12,57,0
469,6,5,7,DL,LGA,DCA,214.0,13,29,1
470,7,27,4,AQ,LIH,HNL,102.0,11,56,0
471,4,22,6,DL,MCO,ATL,403.0,5,56,1
472,8,5,6,OO,PHX,LAX,370.0,16,9,1
473,4,30,7,F9,DEN,LAX,862.0,17,26,1
474,12,12,1,AA,DFW,JFK,1391.0,10,59,0
